station_code,station_name,district,river,tributary,latitude,longitude,comid,streamorder,forecast_time,lead_day,meanflow_cms,returnperiod,linkage_status,distance_m
023MP01Vjpur,Bijaypur,Sheopur,Ganga,Yamuna,26.049999999999997,77.46666666666667,441116414,8,2026-07-10T00:00:00+00:00,7,762.7,0,Linked live river forecast reach,34720.228320648675
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-03T00:00:00+00:00,0,0.0,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-03T03:00:00+00:00,0,0.0,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-03T06:00:00+00:00,0,0.5,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-03T09:00:00+00:00,0,1.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-03T12:00:00+00:00,0,1.3,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-03T15:00:00+00:00,0,1.6,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-03T18:00:00+00:00,0,2.1,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-03T21:00:00+00:00,0,3.1,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-04T00:00:00+00:00,1,5.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-04T03:00:00+00:00,1,7.5,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-04T06:00:00+00:00,1,9.9,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-04T09:00:00+00:00,1,11.6,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-04T12:00:00+00:00,1,13.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-04T15:00:00+00:00,1,17.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-04T18:00:00+00:00,1,23.1,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-04T21:00:00+00:00,1,27.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-05T00:00:00+00:00,2,30.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-05T03:00:00+00:00,2,34.0,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-05T06:00:00+00:00,2,38.6,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-05T09:00:00+00:00,2,44.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-05T12:00:00+00:00,2,52.0,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-05T15:00:00+00:00,2,62.5,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-05T18:00:00+00:00,2,74.4,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-05T21:00:00+00:00,2,87.1,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-06T00:00:00+00:00,3,99.8,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-06T03:00:00+00:00,3,110.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-06T06:00:00+00:00,3,120.5,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-06T09:00:00+00:00,3,139.8,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-06T12:00:00+00:00,3,167.3,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-06T15:00:00+00:00,3,196.9,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-06T18:00:00+00:00,3,227.9,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-06T21:00:00+00:00,3,254.0,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-07T00:00:00+00:00,4,269.6,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-07T03:00:00+00:00,4,282.6,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-07T06:00:00+00:00,4,299.9,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-07T09:00:00+00:00,4,323.0,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-07T12:00:00+00:00,4,351.2,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-07T15:00:00+00:00,4,381.3,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-07T18:00:00+00:00,4,411.3,0,Linked live river forecast reach,104886.98728563802
MP0211_Bdngr,Badnagar,Ujjain,Ganga,Yamuna,23.057777777777776,75.38722222222222,441003684,6,2026-07-07T21:00:00+00:00,4,440.3,0,Linked live river forecast reach,104886.98728563802
