station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m
MP1100_Ghgri,Ghughari_Mandla,Mandla,Narmada,Burhner,22.67333333333333,80.72055555555553,440962463,6,40562.4483671878
MP1100_Gujri,Gujri,Dhar,Narmada,Karam,22.558333333333334,75.51666666666667,440983121,7,47214.50288495643
MP1100_Halon,Halon_Mandala,Mandla,Narmada,Burhner,22.39888888888888,80.79527777777778,440962463,6,52541.28072218832
MP1100_Khrni,Khirhani_Jabalpur,Jabalpur,Narmada,Heran,23.416666666666664,80.26666666666667,441045000,6,52723.02626335636
MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaveri,22.165,76.23333333333333,440928077,7,9885.832494857046
MP1100_Ktngi,Katangi_Jabalpur,Jabalpur,Narmada,Hiran,23.426666666666662,79.8175,441067015,6,35037.212388642554
MP1100_Kuksi,Kukshi,Dhar,Narmada,Uri,22.20777777777778,74.7836111111111,440970741,7,15516.84636951086
MP1100_Mergn,Meregaon_Jabalpur,Jabalpur,Narmada,Hiran,23.15805555555556,79.3861111111111,441069768,6,5404.338366277713
MP1100_Mocha,Mocha_Mandla,Mandla,Narmada,Banjar,22.3,80.46666666666665,440962463,6,36090.38781074412
MP1100_Nrngr,Noornagar,Raisen,Narmada,Tenduni,23.11138888888889,78.40277777777777,441050508,6,14617.204139428162
MP1100_Pangr,Panagar_Narsinghpur,Narsimhapur,Narmada,Dudhi,22.835277777777776,78.60333333333334,441043628,6,21128.049975171427
MP1100_Plsud,Palsud,Khargon,Narmada,Goi,21.837499999999995,74.97083333333332,440965237,7,29552.319797309792
MP1100_Sakka,Sakke_Mandla,Mandla,Narmada,Kharmer,22.9,80.89999999999999,440932188,6,67548.04520713889
MP1100_Sehra,Sihora_Jabalpur,Jabalpur,Narmada,Hiran,23.44055555555556,80.09055555555554,441045000,6,44226.15429169239
MP1100_Shahp,Shahpur,Betul,Narmada,Tawa,22.133333333333336,77.96666666666665,440928059,7,78037.83516687452
MP1100_Slwda,Saliwada_Jabalpur,Jabalpur,Narmada,Gour,23.11805555555556,80.01222222222222,441011977,6,7481.550363052474
MP1100_Strna,Satrana,Sehore,Narmada,Kolar,22.672222222222224,77.355,440940446,7,7963.290483636937
MP1100_Tamer,Temar_Jabalpur,Jabalpur,Narmada,Tamer,22.7,80.39166666666667,440932188,6,6856.1959421849615
MP1100_Thkri,Thikri,Khargon,Narmada,Narmada,22.06666666666666,75.48333333333332,440970738,7,10335.4121083296
MP1200_MAHI,MAHI,Dhar,Mahi,Mahi,23.038888888888884,75.01555555555555,441003763,7,112990.5370085268
MP1200_RNSGH,RaniSingh,Ratlam,Mahi,Mahi,23.15833333333333,74.91666666666666,441122033,6,104445.078273157
MP1201_ANTBL,Anterbeliya,Jhabua,Mahi,Anas,22.857777777777777,74.55138888888888,441022970,6,91793.96640494352
MP1201_MOD,Mod,Jhabua,Mahi,Anas,22.8125,74.5136111111111,440990006,7,91463.61153610313
MP1201_RMBHP,Rambhapur,Jhabua,Mahi,Anas,22.951666666666664,74.45111111111112,441022970,6,75897.51325810964
MP1202_DABRI,Dabri,Ratlam,Mahi,Undwa,23.175833333333333,74.93194444444444,441122033,6,104823.3751256282
MP1203_BMNYA,Bamnia,Jhabua,Mahi,Larki,23.09972222222222,74.78861111111111,441020217,6,95789.2202912762
MP1204_KNDPR,KUNDANPUR,Ratlam,Mahi,Telni,23.377777777777776,74.60666666666667,441122033,6,61305.44907870293
