cwc_station_name,cwc_district,cwc_river,cwc_basin,cwc_latitude,cwc_longitude,cwc_start_date,cwc_end_date,cwc_daily_rows,cwc_missing_pct,cwc_nonzero_pct,station_code,forecast_station_name,forecast_district,forecast_river,forecast_tributary,forecast_latitude,forecast_longitude,linked_comid,streamorder,reach_link_distance_m,cwc_to_forecast_distance_km,name_similarity_score,river_or_basin_match,linkage_score,candidate_rank
Chakrar at Gadasarai,DINDORI,Narmada,Narmada,22.82638889,81.32444444,2019-06-24,2025-12-31,2367,0.67,88.93,MP0284_Chtwi,Chatwai,Sahodal,Ganga,Son,23.375,81.3361111111111,441080732,6,90587.39476957529,61.015,0.4444,False,0.37,5
Chhidgaon,HARDA,Narmada,Narmada,22.40611111,77.30805556,2001-01-01,2025-12-31,8815,3.46,83.21,MP1100_Strna,Satrana,Sehore,Narmada,Kolar,22.672222222222224,77.355,440940446,7,7963.290483636937,29.98,0.25,True,0.5726,1
Chhidgaon,HARDA,Narmada,Narmada,22.40611111,77.30805556,2001-01-01,2025-12-31,8815,3.46,83.21,MP1100_Dhlsr,Dhulsar_Dhar,Dhar,Narmada,Uri,22.17083333333333,77.90833333333333,440928059,7,70754.84359814823,67.073,0.3,True,0.3861,2
Chhidgaon,HARDA,Narmada,Narmada,22.40611111,77.30805556,2001-01-01,2025-12-31,8815,3.46,83.21,MP1100_Shahp,Shahpur,Betul,Narmada,Tawa,22.133333333333336,77.96666666666665,440928059,7,78037.83516687452,74.25,0.25,True,0.3291,3
Chhidgaon,HARDA,Narmada,Narmada,22.40611111,77.30805556,2001-01-01,2025-12-31,8815,3.46,83.21,MP1000_PALNG,Palinga,Betul,Tapi,Tapi,21.803611111111103,77.43305555555554,440988608,7,91401.8738920646,68.221,0.375,False,0.306,4
Chhidgaon,HARDA,Narmada,Narmada,22.40611111,77.30805556,2001-01-01,2025-12-31,8815,3.46,83.21,MP1100_Ghgri,Ghughari_Mandla,Mandla,Narmada,Burhner,22.67333333333333,80.72055555555553,440962463,6,40562.4483671878,351.718,0.4348,True,0.2522,5
Chhinda,CHHINDWARA,Godavari,Godavari,22.18527778,78.9775,2022-12-09,2025-12-08,435,60.31,97.7,MP0621_CHAND,Chand,Chhindwara,Godavari,Wainganga,21.950277777777774,79.1247222222222,440785017,6,81726.82298504395,30.216,0.6667,True,0.7171,1
Chhinda,CHHINDWARA,Godavari,Godavari,22.18527778,78.9775,2022-12-09,2025-12-08,435,60.31,97.7,MP0620_PLWRA,Palatwara,Chhindwara,Godavari,Wainganga,22.186111111111117,78.97694444444444,441036748,6,99905.34761386192,0.109,0.125,True,0.6932,2
Chhinda,CHHINDWARA,Godavari,Godavari,22.18527778,78.9775,2022-12-09,2025-12-08,435,60.31,97.7,MP0620_HRKHR,Hirankheri,Chhindwara,Godavari,Wainganga,21.962499999999995,79.1436111111111,440785017,6,83091.14737937962,30.11,0.3529,True,0.6079,3
Chhinda,CHHINDWARA,Godavari,Godavari,22.18527778,78.9775,2022-12-09,2025-12-08,435,60.31,97.7,MP0622_HRGRH,Hirdagarh,Chhindwara,Godavari,Wainganga,22.13055555555555,78.52277777777778,440969334,6,91296.45913238276,47.222,0.5,True,0.5653,4
Chhinda,CHHINDWARA,Godavari,Godavari,22.18527778,78.9775,2022-12-09,2025-12-08,435,60.31,97.7,MP0622_BJGRA,Bijagora,Chhindwara,Godavari,Wainganga,21.981666666666666,78.61472222222223,440785017,6,105353.78793589726,43.702,0.2667,True,0.503,5
Chitrakoot,SATNA,Yamuna,Yamuna Basin,25.14222222,80.85472222,2024-01-01,2025-12-31,729,0.27,100.0,MP0270_Pthra,Patehera,Rewa,Ganga,Tons,24.925000000000004,81.40805555555555,441053171,6,41069.24350692594,60.756,0.3333,False,0.3325,1
Chitrakoot,SATNA,Yamuna,Yamuna Basin,25.14222222,80.85472222,2024-01-01,2025-12-31,729,0.27,100.0,MP0620_HRKHR,Hirankheri,Chhindwara,Godavari,Wainganga,21.962499999999995,79.1436111111111,440785017,6,83091.14737937962,394.233,0.5,False,0.175,2
Chitrakoot,SATNA,Yamuna,Yamuna Basin,25.14222222,80.85472222,2024-01-01,2025-12-31,729,0.27,100.0,MP0271_SnsrP,Sansarpur,Rewa,Ganga,Tons,24.740555555555552,81.4636111111111,441066959,6,45510.57034346316,75.919,0.1053,False,0.1693,3
Chitrakoot,SATNA,Yamuna,Yamuna Basin,25.14222222,80.85472222,2024-01-01,2025-12-31,729,0.27,100.0,MP0285_Chndi,Choondi,Sahodal,Ganga,Son,23.65833333333333,81.54166666666666,441082108,6,66752.19441205189,179.064,0.4706,False,0.1647,4
Chitrakoot,SATNA,Yamuna,Yamuna Basin,25.14222222,80.85472222,2024-01-01,2025-12-31,729,0.27,100.0,MP0622_RMKON,Ramakona,Chhindwara,Godavari,Wainganga,21.68722222222221,78.84944444444443,440785017,6,61431.08866785153,435.248,0.4444,False,0.1556,5
Choral at Barwah,Khargone,Narmada,Narmada,22.24583333,76.05111111,2019-07-01,2025-12-31,2223,6.44,60.5,MP1100_Kmnkd,Kamankheda,Khandwa,Narmada,Kaveri,22.165,76.23333333333333,440928077,7,9885.832494857046,20.802,0.1538,True,0.5894,1
Choral at Barwah,Khargone,Narmada,Narmada,22.24583333,76.05111111,2019-07-01,2025-12-31,2223,6.44,60.5,MP1100_Bmnla,Bamnalla_Khargone,Khargon,Narmada,Veda,21.834444444444443,75.83583333333333,440976241,7,39820.51257861692,50.842,0.3125,True,0.4797,2
